"
Country ",Area,Population,GDP per capita,Population density  ,Vehicle ownership ,Road Network Length,Total Road Deaths ,Road deaths per Million Inhabitants,"Number of People Killed 
per Billion km",Number of Seriously Injured
Romania ,238.4,19530631,8700,85,329,85531,1867,96,n/a ,"8,144 (2018) "
Bulgaria ,111,7050034,6500,65,516,19678,611,88,n/a ,"8,680 (2018) "
Latvia ,64.6,1934379,12300,31,387,70443,143,78,12.1 (2015-2017) ,542 (2018) 
Croatia ,56.5,4105493,"11,500?a ",74,416,26820,317,77,12.7 (2016-2018) ,2.776 (2018) 
Poland ,312.7,37976687,12400,124,672,415122,2862,76,14.6 (2013-2015) ,"10,963 (2018) "
Greece ,132,10741165,17800,83,605,117321,690,64,n/a ,706 (748) 
Hungary ,93,9778371,12500,108,394,203310,629,64,n/a ,"5,496 (2018) "
Czechia ,78.9,10610055,17600,137,570,130680,656,62,10.1 (2015-2015) ,"2,395 (2018) "
Lithuania ,65.3,2808901,13300,45,501,72591,170,61,n/a ,81 (2018) 
Luxembourg ,2.6,602005,80800,245,740,2880,36,60,n/a ,256 (2017) 
Portugal ,92.2,10291027,17900,112,479,"14,310?c ",606,59,8.5 (2016-2018) ,"1,974 (2018) "
Cyprus ,9.3,864236,23300,128,726,9765,49,57,n/a ,348 (2018) 
Italy ,302.1,60483973,26700,206,707,256039,3310,55,6.5 (2015-2017) ,"17,309 (2017) ?e "
Belgium ,30.5,11398589,35300,376,585,155210,590,52,n/a ,"3,757 (2017) "
Estonia ,45.2,1319133,15100,30,620,58787,67,51,5.7 (2016-2018) ,460 (2018) 
EU 28 Total ,4463.4,512379225,28200,121,587,4852242,25249,49,5.8 (no date range available) ,n/a 
France ,632.8,66926166,32800,123,590,1071823,3265,48,5.8 (2015-2017) ,"27,732 (2017) "
Slovakia ,49,5443120,15600,113,455,54806,229,46,n/a ,"1,127 (2017) "
Austria ,83.9,8822267,38000,107,665,124115,409,45,5.2 (2015-2017) ,"7,664 (2017) "
Slovenia ,20.3,2066880,20200,103,587,38874,91,44,6.6 (2014-2016) ,821 (2018) 
Finland ,338.4,5513130,36600,18,732,78093,225,43,4.7 (2014-2016) ,409 (2017) 
Germany ,357.3,"82.792,351 ",35900,237,610,"230,377?b ",3177,39,4.3 (2015-2017) ,"67,913 (2018) "
Spain ,506,46658447,25000,93,611,666 415 ,1806,39,n/a ,"9,546 (2017) "
Malta ,0.3,475701,21600,1462,726,203310,18,38,6.6 (2016-2017) ,317 (2018) 
Sweden ,438.6,10120242,43300,25,542,216976,324,32,3.4 (2016-2018) ,"4,200 (2018) "
Ireland ,69.8,4830392,59400,70,525,96017,146,31,3.5 (2015-2017) ,966?d 
Netherlands ,41.5,17181084,41500,508,543,138641,678,31,4.7 (2015-2017) ,"20,800 (2017) "
Denmark ,42.9,5781190,47600,137,508,74130,175,30,3.7 (2016-2018) ,"1,756 (2017) "
United Kingdom ,248.5,66273576,32400,273,544,421127,1825,28,3.4 (2016-2018) GB Data Only ,"25,609 (2017) "
